date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:10	120/120	---MCZ	200	added ('OK')	text/plain	date:Mon,%2023%20Oct%202023%2001:49:27%20GMT	https://lucky-bulldog.10web.site/robots.txt		(from )
22:52:11	192382/192382	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2001:49:28%20GMT	https://lucky-bulldog.10web.site/	C:/My%20Web%20Sites%202/clone/lucky-bulldog.10web.site/index.html	(from )
22:52:11	1662483/1662483	---MCZ	200	added ('OK')	text/css	etag:W/%226535cfcf-195e13%22	https://lucky-bulldog.10web.site/wp-content/cache/tw_optimize/css/two_front_page_aggregated_5031697833a1b266bf9fe4d7a52cf38e_delay.min.css?date=1698025423	C:/My%20Web%20Sites%202/clone/lucky-bulldog.10web.site/wp-content/cache/tw_optimize/css/two_front_page_aggregated_5031697833a1b266bf9fe4d7a52cf38e_delay.mind91f.css	(from https://lucky-bulldog.10web.site/)
22:52:13	16043/16043	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Oct%202023%2001:49:29%20GMT	https://lucky-bulldog.10web.site/wp-json/wp/v2/pages/31	C:/My%20Web%20Sites%202/clone/lucky-bulldog.10web.site/wp-json/wp/v2/pages/31.json	(from https://lucky-bulldog.10web.site/)
22:52:13	731/731	---MC-	200	added ('OK')	application/rss+xml	etag:%2270de480b55eaed497ead7586eddbdbc1%22	https://lucky-bulldog.10web.site/comments/feed/	C:/My%20Web%20Sites%202/clone/lucky-bulldog.10web.site/comments/feed/index.html	(from https://lucky-bulldog.10web.site/)
22:52:13	213770/213770	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Oct%202023%2001:49:29%20GMT	https://lucky-bulldog.10web.site/wp-json/	C:/My%20Web%20Sites%202/clone/lucky-bulldog.10web.site/wp-json/index.html	(from https://lucky-bulldog.10web.site/)
22:52:13	1671/1671	---MC-	200	added ('OK')	application/rss+xml	etag:%2270de480b55eaed497ead7586eddbdbc1%22	https://lucky-bulldog.10web.site/feed/	C:/My%20Web%20Sites%202/clone/lucky-bulldog.10web.site/feed/index.html	(from https://lucky-bulldog.10web.site/)
22:52:14	172/172	---M--	401	error ('Unauthorized')	text/html	date:Mon,%2023%20Oct%202023%2001:49:32%20GMT	https://lucky-bulldog.10web.site/xmlrpc.php?rsd	C:/My%20Web%20Sites%202/clone/lucky-bulldog.10web.site/xmlrpc0db0.php	(from https://lucky-bulldog.10web.site/)
22:52:14	2426/2426	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Oct%202023%2001:49:32%20GMT	https://lucky-bulldog.10web.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flucky-bulldog.10web.site%2F	C:/My%20Web%20Sites%202/clone/lucky-bulldog.10web.site/wp-json/oembed/1.0/embedbc17.json	(from https://lucky-bulldog.10web.site/)
22:52:15	2497/2497	---MCZ	200	added ('OK')	text/xml	date:Mon,%2023%20Oct%202023%2001:49:32%20GMT	https://lucky-bulldog.10web.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flucky-bulldog.10web.site%2F&format=xml	C:/My%20Web%20Sites%202/clone/lucky-bulldog.10web.site/wp-json/oembed/1.0/embed9860	(from https://lucky-bulldog.10web.site/)
